name,region,variety,rating,notes
Brovia Rocche (1.5 Liter Magnum) 2007,"Piedmont, Italy",Red Wine,96.0,"An extremely fine and elegant wine from one of the great vineyards of Castiglione Falletto. The color is garnet red with light orange colored reflections. The nose is balanced and intense with violets, strawberries, prunes, cherries, mint, woody essence, licorice and some balsamic notes. The taste begins slowly, but it grows incrementally until coating the palate.  "
Brovia Rocche 2007,"Piedmont, Italy",Red Wine,96.0,"An extremely fine and elegant wine from one of the great vineyards of Castiglione Falletto. The color is garnet red with light orange colored reflections. The nose is balanced and intense with violets, strawberries, prunes, cherries, mint, woody essence, licorice and some balsamic notes. The taste begins slowly, but it grows incrementally until coating the palate.  "
Brovia Rocche 2008,"Piedmont, Italy",Red Wine,96.0,"This splendid site in Castiglione Falletto, the fabled ""Rocche,"" gives us a window onto the elegant, feminine side of Barolo. Always the most aromatic and sensual of the crus from Brovia, the Rocche dei Brovia carries its weight with a ballerina-like delicacy on top of tannins that are sweet and silky. A seductress that tempts you to the table with its near-athletic versatility, the Rocche is the one member of this special quartet of crus that will charm you from the outset."
Bruna Grimaldi Barolo Badarina 2013,"Barolo, Piedmont, Italy",Red Wine,97.0,"This wine's color is an intense and brilliant garnet with orange highlights. The aroma is ample and intense, with sensations of violets, pepper, raspberries, and dried roses along with the classic notes of tar. The flavor is robust, persistent, and elegant."
Bruno Giacosa Barbaresco Asili Riserva (1.5 Liter Magnum) 2014,"Barbaresco, Piedmont, Italy",Red Wine,97.0,"Intense red garnet color with orange highlights. Notes of raspberry and wild strawberry are layered with floral aromas of rose and violet. On the palate, good structure is matched with freshness of fruit and sweet, silky tannins. "
Bruno Giacosa Barbaresco Asili Riserva 2014,"Barbaresco, Piedmont, Italy",Red Wine,97.0,"Intense red garnet color with orange highlights. Notes of raspberry and wild strawberry are layered with floral aromas of rose and violet. On the palate, good structure is matched with freshness of fruit and sweet, silky tannins. "
Bruno Giacosa Barbaresco Asili Riserva (3 Liter) 2014,"Barbaresco, Piedmont, Italy",Red Wine,97.0,"Intense red garnet color with orange highlights. Notes of raspberry and wild strawberry are layered with floral aromas of rose and violet. On the palate, good structure is matched with freshness of fruit and sweet, silky tannins. "
Bruno Giacosa Barbaresco Rabaja 2000,"Barbaresco, Piedmont, Italy",Red Wine,96.0,"""As seductive as it gets. Forget the slightly amber hue. Full-bodied, with fabulous, decadent, ripe plum, cedar and berry character, layers of velvety tannins and a long, long finish. Superb. Best after 2009. 580 cases made."""
Bruno Giacosa Barolo Falletto 2008,"Barolo, Piedmont, Italy",Red Wine,96.0,"Garnet red color with orange reflections. Ample and complex bouquet with notes recalling truffle and licorice. In the mouth it feels dry, full and velvety, unfolding a great personality."
Bruno Giacosa Barolo Falletto Red Label 1996,"Barolo, Piedmont, Italy",Red Wine,96.0,"Especially impressive for firm but elegant tannins. This Barolo is rich in dark fruit, leather and anise aromas. Very refined and balanced with abundant flavors of chocolate and tobacco. Big! Recommended with beef dishes, game and other richly flavored dishes."
Bruno Giacosa Barolo Le Rocche del Falletto 2011,"Barolo, Piedmont, Italy",Red Wine,97.0,"Garnet red color with orange reflections. Ample and complex bouquet with notes recalling truffle and liquorice. In the mouth it feels dry, full and velvety, unfolding a great personality."
Bruno Giacosa Barolo Le Rocche del Falletto Riserva (1.5 Liter Magnum) 2007,"Barolo, Piedmont, Italy",Red Wine,98.0,"Le Rocche del Falletto Riserva is an intense red garnet color. The bouquet is a very fine and elegant, with violets, orange peel and red fruit notes. In the mouth the wine is structured and wel-balanced with velvety tannins and a long finish."
Bruno Giacosa Barolo Le Rocche del Falletto Riserva (1.5 Liter Magnum) 2008,"Barolo, Piedmont, Italy",Red Wine,96.0,"Garnet red color; ample and persistent bouquet with reminiscences of ripe fruit, withered flowers and sweet spices. Dry, warm and austere flavor. The best vintages can bear the denomination “Riserva” on the label."
Bruno Giacosa Barolo Le Rocche del Falletto Riserva (1.5 Liter Magnum) 2012,"Barolo, Piedmont, Italy",Red Wine,96.0,"Red garnet color with orange glints. Elegant and refined on the nose with notes of mature red fruit, rose petal and dried flowers. On the palate, the wine showcases a silky texture, full body, good acidity and velvety tannins."
Bruno Giacosa Barolo Le Rocche del Falletto Riserva 1999,"Barolo, Piedmont, Italy",Red Wine,96.0,"Hedonistic and very, very rich. Blockbuster. Racy. Masses of fruit on the nose, with plum, berry, and toasted oak. Full-bodied, with chunky tannins and a long, long finish. Fruit bomb. From a tiny section of the Barolo maestro's own vineyard in Falletto. Best after 2010. 950 cases made. (JS)"
Bruno Giacosa Barolo Le Rocche del Falletto Riserva 2001,"Barolo, Piedmont, Italy",Red Wine,97.0,"""Darker and more backward than the Falletto in both its aromas and flavors, Giacosa's staggering 2001 Barolo Riserva Le Rocche del Falletto offers an explosive nose of spices, menthol, minerals, smoke and scorched earth followed by waves of sweet fruit that coat the palate in a potent mix of finesse and sheer power, with fine tannins, and a lingering balsamic note on the finish. This complex, multi-dimensional wine will require considerable patience and will age gracefully for several decades. Made from the oldest vines at Falletto, the 2001 Barolo Riserva Le Rocche del Falletto is another towering achievement from Bruno Giacosa. An Azienda Agricola Falletto di Bruno Giacosa bottling. To be released in 2007. Anticipated maturity: 2013-2031."" - Wine Advocate"
Bruno Giacosa Barolo Le Rocche del Falletto Riserva 2008,"Barolo, Piedmont, Italy",Red Wine,96.0,"Garnet red color. Ample, complex and elegant bouquet with reminiscences of rose, ripe fruit, truffle and spices. Its flavour is dry, full, generous, harmonious and velvety. Wine of aristocratic personality that in the best vintages can boast the denomination ""Riserva""""on the label."
Bruno Giacosa Barolo Le Rocche del Falletto Riserva 2007,"Barolo, Piedmont, Italy",Red Wine,97.0,"Le Rocche del Falletto Riserva is an intense red garnet color. The bouquet is a very fine and elegant, with violets, orange peel and red fruit notes. In the mouth the wine is structured and wel-balanced with velvety tannins and a long finish."
Bruno Giacosa Barolo Le Rocche del Falletto Riserva 2011,"Barolo, Piedmont, Italy",Red Wine,97.0,"Garnet red color. Ample, complex and elegant bouquet with reminiscences of rose, ripe fruit, truffle and spices. Its flavour is dry, full, generous, harmonious and velvety. Wine of aristocratic personality that in the best vintages can boast the denomination “Riserva” on the label."
Bruno Giacosa Barolo Le Rocche del Falletto Riserva 2012,"Barolo, Piedmont, Italy",Red Wine,96.0,"Red garnet color with orange glints. Elegant and refined on the nose with notes of mature red fruit, rose petal and dried flowers. On the palate, the wine showcases a silky texture, full body, good acidity and velvety tannins."
Bruno Giacosa Barolo Le Rocche del Falletto Riserva (3 Liter) 2008,"Barolo, Piedmont, Italy",Red Wine,96.0,"Garnet red color; ample and persistent bouquet with reminiscences of ripe fruit, withered flowers and sweet spices. Dry, warm and austere flavor. The best vintages can bear the denomination “Riserva” on the label."
Bruno Giacosa Barolo Le Rocche del Falletto Riserva (3L Dbl Magnum) 2007,"Barolo, Piedmont, Italy",Red Wine,98.0,"Le Rocche del Falletto Riserva is an intense red garnet color. The bouquet is a very fine and elegant, with violets, orange peel and red fruit notes. In the mouth the wine is structured and wel-balanced with velvety tannins and a long finish."
Bruno Giacosa Barolo Le Rocche del Falletto Riserva (3 Liter) 2012,"Barolo, Piedmont, Italy",Red Wine,96.0,"Red garnet color with orange glints. Elegant and refined on the nose with notes of mature red fruit, rose petal and dried flowers. On the palate, the wine showcases a silky texture, full body, good acidity and velvety tannins."
Bruno Rocca Barbaresco Rabaja 2000,"Barbaresco, Piedmont, Italy",Red Wine,97.0,"Unbelievable aromas, with rich, ripe plum but also mineral, tobacco and cedar undertones. Full-bodied, with lovely ripe tannins and a unctuous combination of ripe fruit and light toasty oak. Goes on and on. Fabulous. Greatest wine ever from Bruno Rocca. Best after 2007. 1,500 cases made. (JS)"
Bryant Family Cabernet Sauvignon 1994,"Napa Valley, California",Red Wine,97.0,"The enormously promising, potentially perfect 1994 Cabernet Sauvignon is one of those rare wines that possesses awesome aromatic, flavor, and texture dimensions. Totally dry, it comes across as sweet because of its highly extracted, ripe fruit. Opaque purple/black-colored, with a knock-out nose of black fruit (cassis and black-raspberries), this wine hits the palate with phenomenal concentration that brilliantly manages to be neither heavy nor overbearing. Plenty of velvety tannin is concealed behind the fruit's remarkable intensity. The wine's purity, presence, and finish are unbelievable."
Bryant Family Cabernet Sauvignon 1995,"Napa Valley, California",Red Wine,99.0,"Bryant Family Vineyard Cabernet Sauvignon is 100% Cabernet Sauvignon made from our 13-acre estate vineyard atop Pritchard Hill, overlooking Lake Hennessey. This first growth vineyard is meticulously farmed by David Abreu, with whom we have worked closely for more than 12 years. A beautiful expression of our unique terroir, this wine is a testament to the dedication of our winemaking and vineyard team who aim to produce the finest wine possible from this site."
Bryant Family Cabernet Sauvignon 2014,"Napa Valley, California",Red Wine,97.0,"100% Cabernet Sauvignon made from our 13-acre estate vineyard atop Pritchard Hill, overlooking Lake Hennessey. This first growth vineyard is meticulously farmed by David Abreu, with whom we have worked closely for more than 12 years. A beautiful expression of our unique terroir, this wine is a testament to the dedication of our winemaking and vineyard team who aim to produce the finest wine possible from this site. "
Buccella Cabernet Sauvignon 2012,"Napa Valley, California",Red Wine,96.0,"The 2012 Buccella Cabernet Sauvignon is a stunning balance between power and finesse. The wine is a lush, layered example of the best Napa Valley Cabernet Sauvignon can offer. Aromas of blackberry, cassis, and blueberry mingle with notes of molasses, bay, pastry crust, and graphite. The palate showcases a velvet texture, with supple tannins wrapped around flavors of black current, dark chocolate flavors, and a rich finish of incredible length."
Buccella Cabernet Sauvignon 2013,"Napa Valley, California",Red Wine,96.0,"The 2013 Cabernet Sauvignon offers an exciting purity of flavors. Aromas of blueberry, crushed stone and violets jump out of the glass. On the palate layers of dark cocoa and black fruits encompass soft round tannins. This wine dances between fresh approachability and a serious age ability."
Burge Family G3 2002,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,96.0,"Blend: 52% Grenache, 42% Shiraz, 6% Mourvedre"
Burlotto Barolo Vigneto Monvigliero 2016,"Barolo, Piedmont, Italy",Red Wine,99.0,"The greatness of Monvigliero lies in its signature aromatics, which are unlike any Barolo. Its astonishingly intense, and instantly recognizable, perfume of wild strawberries, rose petals, cedar and truffle is nothing short of hypnotic. And it could come from no place else on earth. It is the essence of its terroir."
Buscado Vivo o Muerto La Verdad Gualtallary 2015,"Uco Valley, Mendoza, Argentina",Red Wine,96.0,"Gualtallary is located in the northern Uco Valley, in the county of Tupungato, at an altitude of 5,000’ elevation. It is the last vineyard district before the Andean foothills. "
By Farr Sangreal Pinot Noir 2014,"Geelong, Victoria, Australia",Red Wine,97.0,"Each year the same descriptive notes come to mind for this wine: seductive, perfumed, seamless balance and moreish. It is a site that wavers very little in more difficult vintages and excels in the great ones—this is the backbone of By Farr wines. The alluring characters of this vineyard, combined with red fruits, whole bunch, acidity and oak, have produced a beautifully interwoven expression of site and vintage. That’s what it’s all about."
By Farr Shiraz 2014,"Geelong, Victoria, Australia",Red Wine,96.0,"A powerful nose, with the depth and complexity of cool-climate shiraz. This wine is spiced with pepper and mineral elements, leaning towards earthy. The co-fermented viognier adds a little richness to both the bouquet and palate, which has a very pleasant sweetness to start, followed by intense fruit and earthy long tannins to complete the delicate structure and overall elegance of the wine."
CADE Howell Mountain Estate Cabernet Sauvignon 2008,"Howell Mountain, Napa Valley, California",Red Wine,98.0,"We feel that the 2008 CADE Estate Cabernet Sauvignon eclipses our blockbuster 2007, the reasons being that theweather in October 2008 was fantastic with not a drop of rain falling during ripening season and harvest."
Caiarossa 2016,"Tuscany, Italy",Red Wine,96.0,"The purest expression of the vineyards, Caiarossa shows all the complexity and the nobility of the land. The seven varieties in the blend weave together a perfect tapestry of the estate’s terroir. A true expression of the luxury of nature. "
Cakebread Benchland Select Cabernet Sauvignon 2007,"Napa Valley, California",Red Wine,96.0,"Our Benchland Select Cabernet Sauvignon is crafted from several prime vineyard sites in Napa Valley's gently sloping western benchlands. In 2007, 54% of our Benchland Select grapes came from the acclaimed Rutherford appellation, with 46% from its equally esteemed southern neighbor, Oakville. Each lot of grapes was hand-harvested at night to ensure the freshest flavors, and then fermented and aged separately prior to blending.  "
Calera Mt. Harlan Chardonnay 2009,"Mt. Harlan, Central Coast, California",White Wine,96.0,"Our 2009 Mt Harlan Chardonnay entices with an alluring mineral, peach gelato bouquet and notes of gooseberry, honeysuckle, Bosc pear and golden apple. It is a statuesque wine; elegant, savory and velvety, with its gentle, creamy texture yet pronounced structure, hinting towards this vineyards proven, astounding aging potential, although admittedly it is wonderful to drink young as well."
Cardinale Cabernet Sauvignon 2003,"Napa Valley, California",Red Wine,96.0,"""A more challenging vintage means a more challenging blend period, as it was for this blend. After compiling at least 20 different blends, I kept coming back to this wine. The black currant, anise and minerality of Mount Veeder and Howell Mountain combine with the middle gravelly palate of Oakville and the sweet/soft character of Stags' Leap."" - Christopher Carpenter, Cardinale Winemaker"
Cardinale Cabernet Sauvignon 2008,"Napa Valley, California",Red Wine,96.0,"As you would enjoy the varied nuances and subtle layers of a Fellini film, so you should enjoy Cardinale. The 2008 has an aromatic element that evokes violets and orange blossoms with a fruitcomponent of dark cherry combined with a palate that offers currant, ripe blackberry and toast with a velvety texture on a long, drawn finish."
Cardinale Cabernet Sauvignon 2013,"Napa Valley, California",Red Wine,96.0,"At Cardinale, as we sat down to blend the 2013s, we knew that Mother Nature had created her transcendent work. It was up to us to present Cardinale to you as one of the wines that would exemplify this vintage now and far into the future. This was a responsibility we did not take lightly, knowing we had to focus on the depth, the power, the subtlety and complexity of this vintage. In the end I am confident we created a wine that captures that idea and those aspects and celebrates 2013 as it should be–transcendent. Enjoy! "
Cardinale Cabernet Sauvignon 2014,"Napa Valley, California",Red Wine,96.0,"With the 2014 vintage, a smooth and steady growing season that had only a few short heat spikes, I finally decided on 24 different wines, spanning six different appellations and 12 vineyard sites. Roughly 33% of the final blend came from Spring Mountain whose vineyard sites have soils composed primarily of volcanic loam, imparting fine tannins and delicate floral notes to the wine. To the east on Howell Mountain, we have two estate vineyards making up roughly 25% that contribute dark fruit characters, herbs and weight adding complexity and depth. "
Carte Blanche Cabernet Sauvignon 2015,"Oakville, Napa Valley, California",Red Wine,97.0,"A super complex nose leaps from the glass, showing dark and red fruits, cassis, graphite, and lead pencil layered seamlessly. A broad palate opens to reveal black fruits, hint of red currant, and fresh tobacco leaf, all leading to a mile long silky finish."
Carter Cellars Beckstoffer To Kalon The Three Kings 2013,"Oakville, Napa Valley, California",Red Wine,97.0,"The Three Kings Beckstoffer To Kalon is crafted from the classic Napa Cabernet clone 7, renown for fruit first profile. It opens up immediately with floral aromatics mixed with dark currants, exotic spices and blue/black fruits. Once again, this To Kalon is noticeably darker and the most virile wine of the Carter Cellar's 2013 offering. Revealing superb balance and concentration it is a successful expression of richness and power - the hallmark of this Beckstoffer To Kalon wine. The pliant mid-palate is composed of firm but sweet tannins which are fully integrated into the plush dark fruit and toasted oak notes. While drinking superb now, give this beautiful wine a few years in the cellar to round out and you’ll be rewarded by mature and developed nuances for 12-18 years to come."
Carter Cellars Beckstoffer To Kalon Vineyard The G.T.O. (1.5L) 2014,"Oakville, Napa Valley, California",Red Wine,96.0,"Referred to as ""a true bucket list Cabernet Sauvignon,"" the 2014 Carter Cellars available only in Magnum format is sourced from the very best barrels, in the very best slices of the Beckstoffer To Kalon Vineyard. A monumental wine, that possesses huge notes of smoke, tobacco leaf, crushed flowers, blueberries, blackberries, and licorice in both the aromatic and flavor profiles. The finish is endless in this super-intense, rich wine. Like all of our Beckstoffer To Kalons the sweetness of tannins and the emerging complexity permits enjoyment at this early stage, but let it age for 10 to 25 years to see the best of what this wine has to offer. As always, extremely limited, so act with haste."
Carter Cellars Cabernet Sauvignon Beckstoffer Las Piedras Vineyard 2014,"Oakville, Napa Valley, California",Red Wine,98.0,"The wine shows a strikingly dark hue and the nose emits a show stopping rush of blueberry and black fruits. The first taste is an opulent and rich attack on the senses, while the underlying minerality and significant structure result in a muscular but well-balanced Cabernet. A full-bodied mid-palate reveals the finely integrated tannins that lift the overall back bone of the wine into a finish abundant with black and blue fruits, and currants."
Carter Cellars Cabernet Sauvignon Beckstoffer To Kalon The O G 2014,"Oakville, Napa Valley, California",Red Wine,97.0,"As in the previous years, 2014 was a very good year for the ‘O.G.’ block of Beckstoffer To Kalon. This dense and ethereal Napa Cabernet Sauvignon reveals gorgeous notes of blackberry liqueur, complex floral undertones all matched with an inky deep purple color. Sweet tannins integrate with a plush, persistent and prodigious palate making this a complex wine which expertly showcases Napa Valley terroir. As with prior vintages of this wine, the structure and power of the clone 337 from the Beckstoffer To Kalon Vineyard lends itself well to an extended decant or several years of bottle age to really spread its wings. This wine should hit its prime in 7 to 10 years and continue to age and become more complex for decades"
Casanova di Neri Brunello di Montalcino Cerretalto (1.5 Liter Magnum) 2012,"Montalcino, Tuscany, Italy",Red Wine,98.0,"The 2012 Cerretalto is a wine with a strong charisma, in which the main traits of every Cerretalto joined together: richness, pleasantness together with freshness and elegance. It shows a very young and brilliant ruby red. The nose is mineral and charismatic, with an intense red fruit melted with chocolate, liquorice and followed by hints of citrus, smoky notes and the unmistakable graphite. Long and wide in the mouth, this wine has a thick and dense tannic texture enhanced by the finesse and silkiness. Endless aftertaste. "
Casanova di Neri Brunello di Montalcino Cerretalto 2004,"Montalcino, Tuscany, Italy",Red Wine,98.0,"The Brunello di Montalcino Cerretalto is produced from a selection of vineyards situated in the natural amphitheatre by the Asso river. The particular microclimate, the ""terroir"", the low production per vine and the great attention to detail in the winery together produce a well balanced wine with character and good alcohol content. It is only produced when we consider the quality of the grapes harvested to be excellent. It is aged for about 2 years in French oak casks and then for at least 18 months in the bottle."
Casanova di Neri Brunello di Montalcino Cerretalto 2012,"Montalcino, Tuscany, Italy",Red Wine,98.0,"The 2012 Cerretalto is a wine with a strong charisma, in which the main traits of every Cerretalto joined together: richness, pleasantness together with freshness and elegance. It shows a very young and brilliant ruby red. The nose is mineral and charismatic, with an intense red fruit melted with chocolate, liquorice and followed by hints of citrus, smoky notes and the unmistakable graphite. Long and wide in the mouth, this wine has a thick and dense tannic texture enhanced by the finesse and silkiness. Endless aftertaste.  "
Casanova di Neri Brunello di Montalcino Cerretalto 2013,"Montalcino, Tuscany, Italy",Red Wine,97.0,"The 2013 vintage best represents the Cerretalto work of art: deepness, intensity, and greatness. Once poured in the glass, it shows a bright ruby red color while the bouquet has unmistakable graphite followed by hints of young and dark red fruits, chocolate and licorice. On the palate, it is immense, thick and elegant at the same time with an incredible and persistent finish. Tannins are perfectly smoothed and integrated. The Cerretalto 2013 has a long life ahead. It should be opened at least 3 hours in advance at the recommended service temperature"
Casanova di Neri Brunello di Montalcino Cerretalto (6 Liter) 2012,"Montalcino, Tuscany, Italy",Red Wine,98.0,"The 2012 Cerretalto is a wine with a strong charisma, in which the main traits of every Cerretalto are joined together -- richness and pleasantness together with freshness and elegance. It shows a very young and brilliant ruby red. The nose is mineral and charismatic, with intense notes of red fruit melted with chocolate, as well as licorice and hints of citrus, smoke and unmistakable graphite. Long and full on the palate, this wine has a thick and dense tannic texture enhanced by finesse and silkiness. Endless aftertaste. It should be opened 3 hours in advance at the right service temperature (60-63 degrees fahrenheit)."
Casanova di Neri Brunello di Montalcino Tenuta Nuova (1.5 Liter Magnum) 2013,"Montalcino, Tuscany, Italy",Red Wine,96.0,"At first sight, Tenuta Nuova 2013 already shows its potential from the bright red color. The bouquet is very expressive and intense, with notes of young red fruit, blackberry and the typical balsamic.  In the mouth is full body, persistent and rich, with silky tannins and a superb lenght. A combination of elegance and power, it should be opened at least 2 hours in advance or alternatively decanting gently."
Casanova di Neri Brunello di Montalcino Tenuta Nuova 2013,"Montalcino, Tuscany, Italy",Red Wine,96.0,"At first sight, Tenuta Nuova 2013 already shows its potential from the bright red color. The bouquet is very expressive and intense, with notes of young red fruit, blackberry and the typical balsamic.  In the mouth is full body, persistent and rich, with silky tannins and a superb lenght. A combination of elegance and power, it should be opened at least 2 hours in advance or alternatively decanting gently."
Casanova di Neri Brunello di Montalcino Tenuta Nuova (3 Liter Bottle) 2013,"Montalcino, Tuscany, Italy",Red Wine,96.0,"The Tenuta Nuova 2013 is bright red in color. The bouquet is very expressive and intense, with notes of young red fruit and blackberry. On the palate, it is full-bodied, persistent and rich, with silky tannins and superb length. A combination of elegance and power, it should be opened at least 2 hours in advance."
Casanova di Neri Pietradonice 2001,"Tuscany, Italy",Red Wine,96.0,"""Fantastic aromas of crushed blackberry, raspberry and cherry follow through to a full-bodied palate, with a solid core of tannins and a long, long finish. Dense yet refined, with excellent richness and structure. This is stunning and only the second year from Brunello's great producer. 95 percent Cabernet Sauvignon, 5 percent Sangiovese. Best after 2007. 985 cases made."""
Casanova di Neri Pietradonice 2004,"Tuscany, Italy",Red Wine,96.0,"The agronomist's attention, the correct distance between the plants, the uniqueness of the microclimate and the components of the earth have produced a wine with exceptional analytical values. It has a deep color, and it has been aged in new barriques for 18 months. Using the experience of Tenuta Nuova, the Sant'Antimo Rosso DOC Pietradonice has been created by planting Cabernet Sauvignon in this ""terroir"" to see how vines other than Sangiovese perform in the Montalcino area. "
Castello dei Rampolla d'Alceo 1997,"Tuscany, Italy",Red Wine,97.0,"The color is a deep purple with the flavor of espresso, sweet melted licorice, black currant jam, tobacco and toasty oak. Full-bodied, with super refined tannins There is great intensity, superb purity, and a finish that lingers for nearly a minute. Perfect with wild meat, chicken, turkey, ham, aged cheese and mushrooms."
Castello dei Rampolla d'Alceo 2006,"Tuscany, Italy",Red Wine,96.0,"The color is a deep purple with the flavor of espresso, sweet melted licorice, black currant jam, tobacco and toasty oak. Full-bodied, with super refined tannins There is great intensity, superb purity, and a finish that lingers for nearly a minute. Perfect with wild meat, chicken, turkey, ham, aged cheese and mushrooms.    "
Castello dei Rampolla d'Alceo 2008,"Tuscany, Italy",Red Wine,96.0,"Deep purple color. On the nose, espresso, sweet melted licorice, black currant jam, tobacco and toasty oak. Full-bodied, with refined tannins."
Castello di Bossi Corbaia 2008,"Tuscany, Italy",Red Wine,96.0,"Intense ruby-red in color with garnet highlights, Corbaia offers jammy aromas of black currant, cherry, and cassis backed by hints of tobacco, chocolate, and coffee. On the palate, the powerful Corbaia is supple and layered with rich texture and well-integrated tannins. "
Castello di Bossi Vin San Laurentino (375ML half-bottle) 2000,"Tuscany, Italy",Collectible,96.0,"Amber gold in color, this wine has characteristic aromas and well balanced flavors. Vin San Laurentino goes well with various soft and blue cheeses, foie gras and sweets."
Catena Zapata Adrianna Vineyard Malbec 2004,Argentina,Red Wine,97.0,"""The single-vineyard 2004 Malbec Adrianna Vineyard from the Gualtallary district is inky purple with aromas of wood smoke, pencil lead, game, black cherry, and blackberry liqueur. Opulent, full-flavored, yet remarkably light on its feet, this medium to full-bodied Malbec is all about pleasure. It will certainly evolve for a decade but is hard to resist now. It is a fine test of one's ability to defer immediate gratification. When all is said and done, Catena Zapata is the Argentina winery of reference – the standard of excellence for comparing all others. The brilliant, forward-thinking Nicolas Catena remains in charge, with his daughter, Laura, playing an increasingly large role. The Catena Zapata winery is an essential destination for fans of both architecture and wine in Mendoza. It is hard to believe, given the surge in popularity of Malbec in recent years, that Catena Zapata only began exporting Malbec to the United States in 1994."""
Catena Zapata Adrianna Vineyard River Stones Malbec 2014,"Uco Valley, Mendoza, Argentina",Red Wine,98.0,"This cuvée takes its name from a small parcel of the Adrianna Vineyard that is completely covered with oval white stones and was the site of an ancient riverbed. The abundant stones provide optimal drainage and extreme temperatures. They absorb heat and moderate the nights, but also function like ice cubes after a very cold night. Stony soil Malbecs tend to be extremely aromatic, rich and luxurious, just like the River Stones Malbec from Adrianna. This wine can be enjoyed young or aged for decades."
Catena Zapata Adrianna White Bones Chardonnay 2013,"Mendoza, Argentina",White Wine,97.0,"The Catena Zapata White Bones Chardonnay has a bright lemon yellow color in the glass. The nose shows an excellent melange of citrus and white fruit notes with vanilla. The mouthfeel is rich and concentrated, showing ripe pear, apple and apricot flavors with salty notes. The finish shows bright, clean acidity and wonderful length."
Catena Zapata Adrianna White Bones Chardonnay 2015,"Mendoza, Argentina",White Wine,96.0,There are many theories about why the grapes coming from these rows have such distinctive floral aromatics with an earthy minerality in the nose and palate. It may be related to the minerals in the soil or to the effects that the calcareous deposits have on root penetration.
Catena Zapata Adrianna White Stones Chardonnay 2016,"Mendoza, Argentina",White Wine,98.0,"The White Stones Chardonnay has a bright lemon yellow color with gold highlights. Aromas of pears and apples are underscored by notes of vanilla and white flowers and a stony minerality. On the palate, the wine has flavors of baked red apples, Bosc pears, and quince along with notes of creamy vanilla and baking spices. The finish is crisp and bright with a stony minerality that lingers on the palate."
Catena Zapata Argentino Vineyard Malbec 2004,Argentina,Red Wine,98.0,"""The single-vineyard 2004 Malbec Argentino Vineyard spent 17 months in new French oak. Remarkably fragrant and complex aromatically, it offers up aromas of wood smoke, creosote, pepper, clove, black cherry, and blackberry. Made in a similar, elegant style, it is the most structured of the three single vineyard wines, needing a minimum of a decade of additional cellaring. It should easily prove to be a 25-40 year wine. It is an exceptional achievement in Malbec. When all is said and done, Catena Zapata is the Argentina winery of reference – the standard of excellence for comparing all others. The brilliant, forward-thinking Nicolas Catena remains in charge, with his daughter, Laura, playing an increasingly large role. The Catena Zapata winery is an essential destination for fans of both architecture and wine in Mendoza. It is hard to believe, given the surge in popularity of Malbec in recent years, that Catena Zapata only began exporting Malbec to the United States in 1994."""
Catena Zapata Nicasia Vineyard Malbec 2004,Argentina,Red Wine,96.0,"""The single-vineyard 2004 Malbec Nicasia Vineyard is located in the Altamira district of Mendoza. It was aged for 18 months in new French oak. Opaque purple-colored, it exhibits a complex perfume of pain grille, scorched earth, mineral, licorice, blueberry, and black cherry. Thick on the palate, bordering on opulent, it has layers of fruit, silky tannins, and a long, fruit-filled finish. It will age effortlessly for another 6-8 years and provide pleasure through 2025. When all is said and done, Catena Zapata is the Argentina winery of reference – the standard of excellence for comparing all others. The brilliant, forward-thinking Nicolas Catena remains in charge, with his daughter, Laura, playing an increasingly large role. The Catena Zapata winery is an essential destination for fans of both architecture and wine in Mendoza. It is hard to believe, given the surge in popularity of Malbec in recent years, that Catena Zapata only began exporting Malbec to the United States in 1994."""
Cavallotto Barolo Riserva Bricco Boschis (chipped wax - 3L) 2001,"Barolo, Piedmont, Italy",Red Wine,96.0,A wine of great structure but with elegance and complexity. Initially fruity with floral and spice aromas that open up. An excellent wine for aging.
Caymus Special Selection Cabernet Sauvignon 1987,California,Red Wine,98.0,A superlative wine from a great vintage. Aging beautifully with years to go. Very limited.
Caymus Special Selection Cabernet Sauvignon (6.0L) 2004,"Napa Valley, California",Red Wine,96.0," This is a 6-liter bottle, also known as an Imperial size.  It contains the equivalent of eight ""regular"" 750ML bottles. "
Cayuse Armada Syrah 2003,"Walla Walla Valley, Columbia Valley, Washington",Red Wine,97.0,"The wine itself is beautifully perfumed, plush, super-rich, with layers of sweet black and blue fruits."
Cayuse God Only Knows Grenache 2006,"Walla Walla Valley, Columbia Valley, Washington",Red Wine,97.0,"Intensely fruity on the nose, with spicy flavors that follow and expand across the palate. This has excellent grip and depth, along with balancing acidity and structure. Plum, kirsch and concentrated cherry flavors pop out. It's a wine of refined power."
Celler Cal Pla Mas d'en Compte Planots 2005,"Priorat, Spain",Red Wine,98.0,"""The 2005 Mas d'En Compte Planots is 50% Garnacha and 50% Carinena from 100+-year-old vines aged in new French oak for 16 months. Purple-colored, the nose is more fruit confit than spice cabinet along with notes of wild blueberry and blackberry. This is followed by a ripe, totally hedonistic wine with extreme length and a decade of cellaring potential. While it will be hard to resist young, patient purchasers will be well rewarded."" - Wine Advocate"
